"Dzien symulacji: ","1","Liczba roslin: ","99","Liczba zwierzat: ","107","Liczba wolnych pol : ","710","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","17,69","Srednia dlugosc zycia martwych: ","0,00"
"Dzien symulacji: ","2","Liczba roslin: ","94","Liczba zwierzat: ","111","Liczba wolnych pol : ","712","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","16,23","Srednia dlugosc zycia martwych: ","0,00"
"Dzien symulacji: ","3","Liczba roslin: ","94","Liczba zwierzat: ","114","Liczba wolnych pol : ","709","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","15,04","Srednia dlugosc zycia martwych: ","2,00"
"Dzien symulacji: ","4","Liczba roslin: ","95","Liczba zwierzat: ","117","Liczba wolnych pol : ","700","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","13,76","Srednia dlugosc zycia martwych: ","2,25"
"Dzien symulacji: ","5","Liczba roslin: ","99","Liczba zwierzat: ","119","Liczba wolnych pol : ","693","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","12,48","Srednia dlugosc zycia martwych: ","2,60"
"Dzien symulacji: ","6","Liczba roslin: ","97","Liczba zwierzat: ","123","Liczba wolnych pol : ","699","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","11,79","Srednia dlugosc zycia martwych: ","3,00"
"Dzien symulacji: ","7","Liczba roslin: ","103","Liczba zwierzat: ","123","Liczba wolnych pol : ","685","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","10,54","Srednia dlugosc zycia martwych: ","3,00"
"Dzien symulacji: ","8","Liczba roslin: ","101","Liczba zwierzat: ","121","Liczba wolnych pol : ","694","Najpopularniejszy genotyp: ","[7, 6, 1, 4, 2, 6, 2, 1]","Sredni poziom energii zyjacych: ","10,08","Srednia dlugosc zycia martwych: ","3,89"
"Dzien symulacji: ","9","Liczba roslin: ","101","Liczba zwierzat: ","117","Liczba wolnych pol : ","693","Najpopularniejszy genotyp: ","[7, 6, 1, 4, 2, 6, 2, 1]","Sredni poziom energii zyjacych: ","10,20","Srednia dlugosc zycia martwych: ","5,00"
"Dzien symulacji: ","10","Liczba roslin: ","102","Liczba zwierzat: ","116","Liczba wolnych pol : ","689","Najpopularniejszy genotyp: ","[7, 6, 1, 4, 2, 6, 2, 1]","Sredni poziom energii zyjacych: ","9,45","Srednia dlugosc zycia martwych: ","5,29"
"Dzien symulacji: ","11","Liczba roslin: ","107","Liczba zwierzat: ","90","Liczba wolnych pol : ","708","Najpopularniejszy genotyp: ","[6, 6, 5, 5, 4, 5, 5, 3]","Sredni poziom energii zyjacych: ","11,46","Srednia dlugosc zycia martwych: ","8,27"
"Dzien symulacji: ","12","Liczba roslin: ","107","Liczba zwierzat: ","88","Liczba wolnych pol : ","709","Najpopularniejszy genotyp: ","[6, 6, 5, 5, 4, 5, 5, 3]","Sredni poziom energii zyjacych: ","11,40","Srednia dlugosc zycia martwych: ","8,35"
"Dzien symulacji: ","13","Liczba roslin: ","104","Liczba zwierzat: ","84","Liczba wolnych pol : ","713","Najpopularniejszy genotyp: ","[6, 6, 5, 5, 4, 5, 5, 3]","Sredni poziom energii zyjacych: ","12,13","Srednia dlugosc zycia martwych: ","8,49"
